route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
L1,S1,VJ1@11:00:00,Bus Station,,,
L1,S1,VJ2@11:00:00,Bus Station,,,
L1,S1,VJ2@11:05:00,Bus Station,,,
L1,S1,VJ2@11:10:00,Bus Station,,,
L1,S1,VJ2@11:15:00,Bus Station,,,
L1,S1,VJ2@11:20:00,Bus Station,,,
L1,S1,VJ2@11:25:00,Bus Station,,,
L1,S1,VJ2@11:30:00,Bus Station,,,
L1,S1,VJ2@11:35:00,Bus Station,,,
L1,S1,VJ2@11:40:00,Bus Station,,,
L1,S1,VJ2@11:45:00,Bus Station,,,
L1,S1,VJ2@11:50:00,Bus Station,,,
L1,S1,VJ2@11:55:00,Bus Station,,,
L1,S1,VJ2@12:00:00,Bus Station,,,
L1,S1,VJ3@12:00:00,Bus Station,,,
L1,S1,VJ3@12:07:00,Bus Station,,,
L1,S1,VJ3@12:14:00,Bus Station,,,
L1,S1,VJ3@12:21:00,Bus Station,,,
L1,S1,VJ3@12:28:00,Bus Station,,,
L1,S1,VJ3@12:35:00,Bus Station,,,
L1,S1,VJ3@12:42:00,Bus Station,,,
L1,S1,VJ3@12:49:00,Bus Station,,,
L1,S1,VJ3@12:56:00,Bus Station,,,
L1,S1,VJ4@13:00:00,Bus Station,,,
L1,S1,VJ4@13:08:00,Bus Station,,,
L1,S1,VJ4@13:16:00,Bus Station,,,
L1,S1,VJ4@13:24:00,Bus Station,,,
L1,S1,VJ4@13:32:00,Bus Station,,,
L1,S1,VJ4@13:40:00,Bus Station,,,
L1,S1,VJ4@13:48:00,Bus Station,,,
L1,S1,VJ4@13:56:00,Bus Station,,,
L1,S1,VJ5@14:00:00,Bus Station,,,
L1,S1,VJ5@14:06:00,Bus Station,,,
L1,S1,VJ5@14:12:00,Bus Station,,,
L1,S1,VJ5@14:18:00,Bus Station,,,
L1,S1,VJ5@14:24:00,Bus Station,,,
L1,S1,VJ5@14:30:00,Bus Station,,,
L1,S1,VJ5@14:36:00,Bus Station,,,
L1,S1,VJ5@14:42:00,Bus Station,,,
L1,S1,VJ5@14:48:00,Bus Station,,,
L1,S1,VJ5@14:54:00,Bus Station,,,
L1,S1,VJ5@15:00:00,Bus Station,,,
L1,S1,VJ6@15:00:00,Bus Station,,,
